rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
185th,White Lake Lakeland,16.5,1.0,32.0,27.48,27.48,2,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,Singles F1: 245th; Singles F2: 123rd; Singles F3: 164th; Singles F4: 196th; Doubles F1: 197th; Doubles F2: 201st; Doubles F3: 127th; Doubles F4: 159th
186th,Monroe,16.4,0.5,32.2,23.19,23.19,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 115th; Singles F2: 151st; Singles F3: 149th; Singles F4: 167th; Doubles F1: 183rd; Doubles F2: 204th; Doubles F4: 179th
187th,Otsego,16.3,0.5,32.1,22.82,22.82,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Singles F1: 162nd; Singles F2: 208th; Singles F3: 200th; Singles F4: 203rd; Doubles F1: 127th; Doubles F2: 168th; Doubles F3: 181st; Doubles F4: 161st
188th,Croswell-Lexington,16.3,0.5,32.1,23.83,23.83,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,Singles F1: 212th; Singles F2: 153rd; Singles F3: 188th; Singles F4: 198th; Doubles F1: 152nd; Doubles F2: 105th; Doubles F3: 211th; Doubles F4: 191st
189th,Riverview Gabriel Richard,16.3,0.5,32.1,24.25,24.25,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,Singles F1: 193rd; Singles F2: 209th; Singles F3: 166th; Doubles F1: 159th; Doubles F2: 94th; Doubles F3: 140th; Doubles F4: 189th
190th,Sterling Heights,16.1,0.0,32.1,21.95,21.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 217th; Singles F2: 160th; Singles F3: 169th; Singles F4: 166th; Doubles F1: 134th; Doubles F2: 147th; Doubles F3: 157th
191st,Davison,16.0,0.5,31.4,21.64,21.64,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Singles F1: 218th; Singles F2: 228th; Singles F3: 204th; Singles F4: 124th; Doubles F1: 178th; Doubles F2: 137th; Doubles F3: 172nd; Doubles F4: 162nd
192nd,Macomb Dakota,15.7,2.5,28.9,23.06,23.06,2,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 55th; Singles F2: 63rd; Singles F3: 205th; Singles F4: 201st; Doubles F1: 228th; Doubles F2: 205th
193rd,St Clair Shores Lakeview,15.7,0.5,30.9,21.65,21.65,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Singles F1: 231st; Singles F2: 222nd; Singles F3: 218th; Singles F4: 174th; Doubles F1: 186th; Doubles F2: 134th; Doubles F3: 122nd; Doubles F4: 148th
194th,Fruitport,15.7,0.0,31.4,22.91,22.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 169th; Singles F2: 190th; Singles F3: 184th; Singles F4: 184th; Doubles F1: 192nd; Doubles F2: 179th; Doubles F3: 175th; Doubles F4: 150th
195th,Stevensville Lakeshore,15.6,1.0,30.1,26.11,26.11,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Singles F1: 107th; Singles F2: 178th; Singles F3: 227th; Singles F4: 122nd; Doubles F1: 213th; Doubles F2: 213th; Doubles F3: 205th; Doubles F4: 185th
196th,Hemlock,15.5,1.0,30.0,23.38,23.38,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,Singles F1: 248th; Singles F2: 183rd; Singles F3: 240th; Singles F4: 222nd; Doubles F1: 119th; Doubles F2: 123rd; Doubles F3: 171st; Doubles F4: 147th
197th,Livonia Franklin,15.5,0.5,30.4,23.49,23.49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Singles F1: 210th; Singles F2: 172nd; Singles F3: 192nd; Singles F4: 223rd; Doubles F1: 173rd; Doubles F2: 146th; Doubles F3: 126th; Doubles F4: 202nd
198th,Battle Creek Pennfield,15.4,1.0,29.7,23.87,23.87,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 100th; Singles F2: 105th; Singles F3: 216th; Singles F4: 217th; Doubles F1: 217th; Doubles F2: 212th; Doubles F3: 199th; Doubles F4: 192nd
199th,Riverview,15.1,0.0,30.3,20.73,20.73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 237th; Singles F2: 205th; Singles F3: 203rd; Singles F4: 158th; Doubles F1: 184th; Doubles F2: 165th; Doubles F3: 163rd; Doubles F4: 132nd
200th,Jackson,14.9,1.2,28.6,27.32,27.32,1,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 51st; Singles F2: 224th; Singles F3: 201st; Singles F4: 186th; Doubles F1: 140th; Doubles F2: 214th; Doubles F3: 207th
201st,Charlotte,14.8,0.5,29.1,22.35,22.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Singles F1: 255th; Singles F2: 206th; Singles F3: 137th; Singles F4: 136th; Doubles F1: 208th; Doubles F2: 176th; Doubles F3: 94th
202nd,Alma,14.8,0.0,29.7,23.17,23.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 202nd; Singles F2: 193rd; Singles F3: 177th; Singles F4: 156th; Doubles F1: 203rd; Doubles F2: 197th; Doubles F3: 168th; Doubles F4: 163rd
203rd,Cedar Springs,14.7,0.0,29.4,23.24,23.24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 176th; Singles F2: 201st; Singles F3: 212th; Singles F4: 204th; Doubles F1: 166th; Doubles F2: 171st; Doubles F3: 137th; Doubles F4: 198th
204th,Lake Odessa Lakewood,14.6,0.5,28.8,18.77,18.77,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Singles F1: 175th; Singles F2: 207th; Singles F3: 241st; Singles F4: 127th; Doubles F1: 188th; Doubles F2: 160th; Doubles F3: 174th; Doubles F4: 206th
205th,Yale,14.0,0.5,27.4,20.61,20.61,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,Singles F1: 230th; Singles F2: 199th; Singles F3: 246th; Singles F4: 146th; Doubles F1: 195th; Doubles F2: 128th; Doubles F3: 191st; Doubles F4: 171st
206th,Muskegon Western Michigan Christian,13.9,0.0,27.8,24.96,24.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 157th; Singles F2: 195th; Singles F3: 175th; Singles F4: 221st; Doubles F1: 171st; Doubles F2: 230th; Doubles F3: 182nd; Doubles F4: 168th
207th,Niles Brandywine,13.3,0.0,26.6,23.94,23.94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 216th; Singles F2: 223rd; Singles F3: 139th; Singles F4: 188th; Doubles F1: 131st; Doubles F2: 166th; Doubles F3: 200th
208th,Livonia Churchill,12.9,0.0,25.8,25.53,25.53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 182nd; Singles F2: 215th; Singles F3: 230th; Singles F4: 185th; Doubles F1: 200th; Doubles F2: 208th; Doubles F3: 189th; Doubles F4: 130th
209th,Brownstown Woodhaven,12.6,0.0,25.2,24.14,24.14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 152nd; Singles F2: 138th; Singles F3: 172nd; Doubles F1: 174th; Doubles F2: 193rd; Doubles F4: 204th
210th,Farmington,12.5,1.2,23.7,24.63,24.63,1,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,Singles F2: 62nd; Singles F3: 154th; Singles F4: 199th; Doubles F2: 132nd
211th,Ferndale,12.0,0.0,24.1,23.21,23.21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 180th; Singles F2: 177th; Singles F3: 195th; Singles F4: 179th; Doubles F1: 196th; Doubles F2: 215th; Doubles F4: 174th
212th,Harbor Springs,11.9,0.5,23.4,21.62,21.62,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Singles F1: 208th; Singles F2: 214th; Singles F3: 108th; Doubles F2: 164th; Doubles F3: 195th; Doubles F4: 183rd
213th,Ionia,11.7,0.0,23.4,23.34,23.34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 243rd; Singles F2: 225th; Singles F3: 220th; Singles F4: 218th; Doubles F1: 210th; Doubles F2: 184th; Doubles F3: 151st; Doubles F4: 137th
214th,Plainwell,11.6,0.0,23.2,21.53,21.53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 188th; Singles F2: 248th; Singles F3: 228th; Singles F4: 226th; Doubles F1: 162nd; Doubles F2: 170th; Doubles F3: 173rd; Doubles F4: 199th
215th,Lansing Eastern,11.4,0.0,22.7,25.76,25.76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 214th; Singles F2: 233rd; Singles F3: 187th; Singles F4: 193rd; Doubles F1: 211th; Doubles F2: 198th; Doubles F3: 214th; Doubles F4: 153rd
216th,Lansing Christian School,11.3,0.0,22.7,19.97,19.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 219th; Singles F2: 169th; Singles F3: 140th; Singles F4: 192nd; Doubles F1: 139th; Doubles F2: 227th
217th,Carleton Airport,11.3,0.0,22.6,21.9,21.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 211th; Singles F2: 226th; Singles F3: 235th; Singles F4: 191st; Doubles F1: 204th; Doubles F2: 181st; Doubles F3: 192nd; Doubles F4: 165th
218th,Auburn Hills Avondale,11.2,0.0,22.4,21.34,21.34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 178th; Singles F2: 159th; Doubles F1: 151st; Doubles F2: 162nd; Doubles F3: 183rd
219th,Grand Rapids Ottawa Hills,10.8,0.0,21.5,28.49,28.49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 235th; Singles F2: 165th; Singles F3: 213th; Singles F4: 202nd; Doubles F1: 220th; Doubles F2: 216th; Doubles F3: 204th; Doubles F4: 173rd
220th,Frankenmuth,10.6,0.0,21.2,24.16,24.16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 213th; Singles F2: 237th; Singles F3: 183rd; Singles F4: 162nd; Doubles F1: 189th; Doubles F4: 133rd
221st,Muskegon Reeths-Puffer,10.5,0.0,20.9,25.64,25.64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 146th; Singles F2: 189th; Singles F3: 237th; Singles F4: 220th; Doubles F1: 229th; Doubles F2: 226th; Doubles F3: 206th; Doubles F4: 187th
222nd,Ypsilanti Lincoln,10.3,0.5,20.1,20.57,20.57,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 119th; Singles F2: 152nd; Singles F3: 168th; Singles F4: 182nd
223rd,Ypsilanti,9.0,0.0,18.0,26.55,26.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 228th; Singles F2: 218th; Doubles F2: 139th; Doubles F3: 161st; Doubles F4: 177th
224th,Hillsdale,8.3,0.5,16.1,16.7,16.7,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Singles F1: 221st; Singles F2: 170th; Singles F3: 199th; Singles F4: 114th
225th,Monroe St Mary Catholic Central,8.3,0.0,16.6,23.83,23.83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 253rd; Singles F2: 243rd; Singles F3: 182nd; Singles F4: 208th; Doubles F1: 216th; Doubles F2: 182nd; Doubles F3: 186th
226th,Southfield Arts & Technology,8.0,0.0,16.1,21.47,21.47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 150th; Singles F2: 175th; Singles F3: 181st; Doubles F1: 198th
227th,Marine City,8.0,0.0,15.9,22.95,22.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 181st; Singles F2: 245th; Singles F3: 223rd; Doubles F1: 182nd; Doubles F2: 135th
228th,Elk Rapids,7.3,0.0,14.5,23.27,23.27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 201st; Singles F2: 187th; Singles F3: 214th; Doubles F1: 194th; Doubles F2: 199th
229th,New Buffalo / Bridgman / Lake Michigan Catholic (LMC),6.8,0.5,13.1,20.37,20.37,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 110th; Singles F2: 242nd; Singles F3: 219th; Singles F4: 195th
230th,Sterling Heights Stevenson,6.6,0.0,13.3,23.44,23.44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 196th; Singles F2: 200th; Singles F3: 222nd; Singles F4: 210th; Doubles F1: 233rd; Doubles F2: 219th
231st,Brooklyn Columbia Central,6.5,0.0,13.1,24.68,24.68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 220th; Singles F2: 204th; Doubles F1: 156th; Doubles F2: 186th
232nd,Warren Woods Tower,6.5,0.0,12.9,23.16,23.16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 233rd; Singles F2: 211th; Singles F3: 229th; Singles F4: 194th; Doubles F1: 226th; Doubles F2: 194th
233rd,Pinckney,6.4,0.0,12.8,25.34,25.34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 239th; Singles F2: 217th; Singles F3: 209th; Singles F4: 214th; Doubles F1: 209th; Doubles F2: 202nd
234th,Clawson,6.4,0.0,12.8,23.84,23.84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 204th; Singles F2: 161st; Singles F4: 147th
235th,Caro,6.1,0.0,12.3,19.68,19.68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 223rd; Singles F2: 131st; Singles F3: 170th
236th,Richmond,6.0,0.0,12.0,25.15,25.15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 232nd; Singles F2: 231st; Singles F3: 210th; Singles F4: 200th; Doubles F1: 223rd; Doubles F2: 210th
237th,Armada,5.6,0.0,11.2,24.3,24.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 199th; Singles F2: 230th; Singles F3: 189th; Singles F4: 228th; Doubles F1: 218th
238th,Plymouth Christian Academy,5.4,0.0,10.8,24.14,24.14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 134th; Singles F2: 210th; Singles F3: 211th
239th,Lincoln Park,4.6,0.0,9.1,26.42,26.42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 244th; Singles F2: 229th; Singles F3: 236th; Doubles F1: 221st; Doubles F2: 224th; Doubles F3: 212th
240th,Bronson,4.4,0.0,8.8,17.23,17.23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 151st; Singles F3: 185th
241st,Madison Heights Lamphere,3.7,0.0,7.4,23.35,23.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doubles F1: 181st; Doubles F4: 184th
242nd,Chesaning,3.5,0.0,7.0,18.37,18.37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 224th; Singles F2: 219th; Singles F3: 234th; Doubles F1: 215th
243rd,Lansing Waverly,3.1,0.0,6.3,18.36,18.36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 154th; Singles F2: 234th
244th,Walled Lake Western,2.9,0.0,5.8,23.23,23.23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 200th; Singles F2: 232nd; Singles F3: 225th
245th,Dearborn Heights Crestwood,2.8,0.0,5.6,24.11,24.11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 234th; Singles F2: 236th; Singles F3: 231st; Doubles F1: 219th
246th,Wyoming Kelloggsville,2.8,0.0,5.5,24.75,24.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 251st; Singles F4: 212th; Doubles F1: 234th; Doubles F2: 225th
247th,Belleville,2.7,0.0,5.4,22.32,22.32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 227th; Doubles F1: 180th
248th,South Haven,2.6,0.0,5.2,24.53,24.53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 254th; Singles F2: 202nd; Singles F3: 243rd; Singles F4: 229th
249th,Boyne City,2.6,0.0,5.1,19.4,19.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 242nd; Singles F2: 238th; Singles F3: 233rd; Doubles F2: 217th
250th,Grant,2.2,0.0,4.4,29.09,29.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 252nd; Singles F2: 249th; Singles F3: 238th; Singles F4: 207th
251st,Battle Creek Central,2.1,0.0,4.1,22.41,22.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 247th; Singles F2: 246th; Singles F3: 239th; Singles F4: 219th
252nd,Durand,2.0,0.0,4.1,21.6,21.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 250th; Singles F2: 247th; Singles F3: 196th
253rd,Adrian,1.9,0.0,3.8,19.62,19.62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 246th; Singles F2: 235th; Singles F3: 217th
254th,Fremont,1.2,0.0,2.5,25.95,25.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 241st; Singles F2: 241st; Singles F3: 244th
255th,Garden City,0.9,0.0,1.9,22.81,22.81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 240th; Singles F2: 239th
256th,Dearborn Fordson,0.8,0.0,1.6,29.2,29.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 225th
257th,Waterford United,0.7,0.0,1.4,25.25,25.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 249th; Singles F2: 240th
258th,Grand Rapids Union,0.6,0.0,1.1,25.01,25.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Singles F1: 236th
